"count","url_host_registered_domain"
"25968","wikipedia.org"
"22635","banglanews24.com"
"22515","prothomalo.com"
"21514","jagonews24.com"
"15326","wikisource.org"
"12138","ihadis.com"
"8760","brta.gov.bd"
"8238","portal.gov.bd"
"5809","bdnews24.com"
"4723","risingbd.com"
"4378","ekushey-tv.com"
"4313","protidinersangbad.com"
"4306","barta24.com"
"4176","news24bd.tv"
"4002","kalerkantho.com"
"3791","channel24bd.tv"
"3583","dhakapost.com"
"3418","bd-pratidin.com"
"3265","daily-bangladesh.com"
"3121","rtvonline.com"
"3020","dailyjanakantha.com"
"2893","newsbangla24.com"
"2863","somoynews.tv"
"2725","dailyinqilab.com"
"2574","dhakatimes24.com"
"2533","ekusheysangbad.com"
"2500","khaborerkagoj.com"
"2455","bbarta24.net"
"2391","jaijaidinbd.com"
"2387","samakal.com"
"2369","ajkerpatrika.com"
"2288","samoyiki.com"
"2287","dainiksylhet.com"
"2124","wiktionary.org"
"2113","somewhereinblog.net"
"2078","u71news.com"
"2000","bangladeshglobal.com"
"1998","thereport24.com"
"1996","ctgtimes.com"
"1981","amaderramu.com"
"1971","dhakaprokash24.com"
"1904","irabotee.com"
"1890","dailysonardesh.com"
"1883","sangbad.net.bd"
"1863","bartamanpatrika.com"
"1854","mzamin.com"
"1821","amaderbrahmanbaria.com"
"1809","bmdb.co"
"1803","paharbarta.com"
"1800","shiromoni.com"
"1798","uniquenews24.com"
"1793","dainikdinkal.net"
"1793","bd24report.com"
"1793","bhorerdarpan.com"
"1792","kanaighatnews.com"
"1790","banglarchithi.com"
"1789","ekhon.tv"
"1788","islamicqa.org"
"1782","agami24.com"
"1777","anannya.com.bd"
"1759","sylheterdak.com.bd"
"1738","rajshahipratidin.com"
"1732","naya-alo.com"
"1722","banglatelegraph.com"
"1714","doinikastha.com"
"1713","sylnewsbd.com"
"1712","orthosongbad.com"
"1701","shokalshondha.com"
"1698","dailysomoyersomikoron.com"
"1682","amarhabiganj.com"
"1679","bangalikantha.com"
"1666","ajkerbd24.com"
"1666","rupashibanglanews.com"
"1663","amadershomoy.com"
"1659","wikibooks.org"
"1638","rajshahipost.com"
"1627","ukhiyanews.com"
"1622","crimesylhet.com"
"1619","sonelablog.com"
"1615","dailydeshsomoy.com"
"1611","amader-protidin.com"
"1594","bhola.gov.bd"
"1588","bdkhabar24.com"
"1578","dailysunshine.com.bd"
"1576","sirajpouro.org"
"1569","dainikbangla.com.bd"
"1565","parbattakantho.com"
"1561","jamaat-e-islami.org"
"1548","newschamber24.com"
"1519","sylhettoday24.news"
"1510","pnsnews24.com"
"1501","kalbela.com"
"1498","dailyshamolbangla.com"
"1486","alokitobangladesh.com"
"1476","amarsangbad.com"
"1462","newsvisionbd.com"
"1448","boishakhnews.com"
"1414","sylhetview24.news"
"1413","campus.org.bd"
"1407","bdsomachar24.com"
"1402","exchange-rates.org"
"1399","deltatimes24.com"
"1392","janatarkatha.com"
"1385","chattogramnews.com"
"1377","jatirkhantha.com.bd"
"1371","matopath.com"
"1347","sharenews24.com"
"1321","dailyspandan.com"
"1307","kathaliabarta.com"
"1307","ebanglalibrary.com"
"1303","janobani.com"
"1268","campustimes.press"
"1261","alfirdaws.org"
"1256","jonotarbangla.com"
"1253","ajanabangladesh.com"
"1250","chandpur.gov.bd"
"1246","khutbahtv.com"
"1244","protidinerkatha.com.bd"
"1217","sonalinews.com"
"1206","barisalpedia.net.bd"
"1193","eyenews.news"
"1191","gnews71.com"
"1189","71newsbd.com"
"1176","surmaview24.com"
"1170","comilla.gov.bd"
"1170","maguraprotidin.com"
"1158","banglapratidin.net"
"1156","somoyerkonthosor.com"
"1153","sciencebee.com.bd"
"1142","dailybangladesheralo.com"
"1140","prothomsangbad.com"
"1139","aparajeobangla.com"
"1135","albd.org"
"1134","dailyajkertalash.com"
"1106","journalbd24.com"
"1096","deshdiganto.com"
"1089","gramnagarbarta.com"
"1076","ajker-cumilla.com"
"1070","banglaoutlook.org"
"1043","prothoma.com"
"1021","grameenkantho.com"
"1012","habiganjexpress.com"
"1011","kishoreganjnews.com"
"1007","businessjournal24.com"
"1007","banglakobita.net"
"1007","netrokonajournal.com"
"1003","24updatenews.com"
"1001","citizenjournal24.com"
"1000","patrika71.com"
"998","barisalsangbad.com"
"998","ajkalerkhobor.net"
"993","al-itisam.com"
"988","rajbarimail.com"
"986","shawdeshnews.com"
"985","dailysatkhira.com"
"977","manikganj.gov.bd"
"967","dailypurbodesh.com"
"967","seanpublication.com"
"963","amaderbrahmanbaria.org"
"959","morebet168.com"
"944","thedhakacrimenews.com"
"943","brittanto24.com"
"939","sachalayatan.com"
"939","boiferry.com"
"932","comillarkagoj.com"
"931","newsbijoy24.com"
"929","lawyersclubbangladesh.com"
"926","gopalganj.gov.bd"
"918","notunshomoy.com"
"917","faridpur.gov.bd"
"916","narsingdi.gov.bd"
"915","dailykaratoa.com"
"914","rajbaribarta.com"
"900","baidu.com"
"900","bholarbani.com"
"900","sylhetdiary.com"
"899","krishi.gov.bd"
"898","padmatimes24.com"
"898","provatferi.com.au"
"897","dailyhabiganjermukh.com"
"896","jubokantho.com"
"891","desherawaj.com"
"886","dailykolomkotha.com"
"885","report71.com"
"885","purbodeek.net"
"885","ctgcollege.gov.bd"
"876","economiafinanzas.com"
"869","prokashoni.net"
"859","bartomansomoy.com"
"857","dailycomillanews.com"
"852","jhenuktv.com"
"849","amarbarta24.com"
"847","nawroj.com.bd"
"840","omiusajpic.org"
"839","usharalo.com"
"837","somoyerkontha.com"
"837","bdmorning.com"
"834","peoplesnews24.com"
"830","durjoybangla.com"
"829","noakhali.gov.bd"
"828","rangberang.com.bd"
"827","dailyganomukti.com"
"819","narayanganj.gov.bd"
"816","brahmanbaria.gov.bd"
"814","sylhetmirror.com"
"813","sherpur.gov.bd"
"809","krishibank.org.bd"
"805","khulnagazette.com"
"802","al-baiyinaat.net"
"802","dhakavoice24.com"
"801","sirajganj.gov.bd"
"800","odhikarbd.net"
"800","kgdarpan.com"
"798","gournadi24.com"
"797","mundoperros.es"
"797","sristy.net"
"797","ournewsbd.net"
"793","bbnnews.co"
"790","ekhansangbad.in"
"788","khagrachhari.gov.bd"
"787","protichhobi.com"
"783","sobujdeshnews.com"
"782","bd-bulletin.com"
"780","barishalpatrika.com"
"780","skhobor.com"
"780","totka24x7.com"
"778","rpnews24.com"
"772","hombresconestilo.com"
"771","teknaftoday.com"
"771","appspot.com"
"764","kulaurasongbad.com"
"764","eduliture.com"
"762","deshprotikhon.com"
"759","crimepatrolbd.com"
"759","dailyajkerbarta.com"
"755","yashodahospitals.com"
"749","greatercomilla.com"
"748","alokitosomoy.com"
"747","cadetcollegeblog.com"
"746","travelgay.com"
"744","egiyecholo.com"
"741","bangla.fm"
"741","comillanews.com"
"730","bahumatrik.com"
"729","manobshongbad.com"
"726","chalized.com"
"723","ajkerkhobor.net"
"721","muktomona.com"
"720","priyochandpur.com"
"718","chittagong.gov.bd"
"713","chandpurkhobor.com"
"709","dailyrangamati.com"
"707","chttvbd.com"
"707","bmdb.com.bd"
"705","risingsylhet.com"
"703","kalerdhara24.com"
"702","dristyprotidin.com"
"700","dainikpurbatara.com"
"700","dailyonusondhan.com"
"699","sangbaderalo.com"
"699","arabbanglatv.com"
"699","dailyamadermatribhumi.com"
"698","newssarabangla24.com"
"696","dainikajkerbangla.net"
"694","actualidadviajes.com"
"694","kalerproticchobi.com"
"693","narsingdimirror.com"
"692","shadinkhobor.com"
"690","newsevm.com"
"690","timestodaybd.com"
"689","somoyerprotyasha.com"
"685","chttimes.com"
"684","golpoboli.com"
"679","barisalprotidin.com"
"676","somoysangbadlive.com"
"674","sylheterchakrirkhabar.com"
"672","banglanews24.today"
"672","somoyersonglap.ae"
"670","golpohub.com"
"669","somoytribune.com"
"662","surmamail.com"
"660","deshbarta24news.com"
"659","parbattanews.com"
"659","narayanganjtimes.com"
"657","gazipur.gov.bd"
"657","amaderbhola.com"
"657","deshtimes24.news"
"652","bandarban.gov.bd"
"651","lakshmipur.gov.bd"
"649","purbashabd24.com"
"647","tarafnews24.com"
"646","dailysangram.com"
"633","gonokantho.com"
"632","timenewsbd.net"
"627","gramerkagoj.com"
"627","dailymessenger.net"
"622","thedailycampus.com"
"622","chhatrasangbadbd.com"
"621","somoykontho.com"
"619","update24.net"
"618","meherpurpratidin.com"
"618","chatganrbani.com"
"613","thedailysylhet.com"
"612","dailysports24.com"
"611","meherpur.gov.bd"
"611","jatirsangbad.com"
"606","coxsbazar.gov.bd"
"605","bbcsatkhira.com"
"604","sylhetprantho.com"
"604","shaistaganj.com"
"603","desherkhobor.net"
"600","dainikkalerkhobor.com"
"600","ganaadhikar.news"
"600","grampost24.com"
"600","dailysramajibirkantho.com"
"600","police.gov.bd"
"600","usharbani.com"
"600","dainikbangladesherchitro.com"
"600","sokalbd24.com"
"599","biplobijanota.com"
"599","plebiscite.news"
"599","bhawalbarta.com"
"598","banglarkhabar24.com"
"598","jonotaradalot.com"
"598","islamicask.com"
"598","dinersheshey.com"
"598","sharekhabor.com"
"598","amaderpirojpur24.com"
"597","bdpolitics24.com"
"597","janotarmail.com"
"597","somoyerdesh.com"
"597","sylheterbarta24.com"
"596","satkhiraprobaho.net"
"595","assroy.com"
"595","thenews24.com"
"595","ruhamashop.com"
"595","dainikamaderchattagram.com"
"595","greencity24.com"
"594","dailynayakontho.com"
"594","swadeshsangbad.com"
"593","bilatbanglanews.com"
"593","y-axis.com"
"592","gssnews24.com"
"592","dakshinanchal24.com"
"591","kishoreganj.gov.bd"
"591","dailyamaderkhobor.com"
"589","radiotodaynews.com"
"589","habibur.com"
"587","dorshok24.com"
"586","dailypratibad.com"
"585","channelanews.com"
"583","rangamati.gov.bd"
"583","earki.co"
"583","visionnewstoday.com"
"578","24bangladesh.news"
"577","matribangla71tv.com"
"577","londonbanglanews.net"
"576","moulvibazar.gov.bd"
"576","nayashatabdi.news"
"573","coxsbazarpost.com"
"572","dailypresstime.com"
"571","nationaldetectivenews.com"
"568","bd-journal.com"
"567","dailyjugabheri.com"
"566","muktokantha.com.bd"
"566","protisomoy.com"
"565","newspostbd.com"
"565","nilkontho.net"
"565","nurulislambulbul.com"
"564","dailydeshbangla24.com"
"562","magurarkotha.com"
"561","dainikdristipat.com"
"559","sylhet.gov.bd"
"558","jugerkantho24.com"
"556","bdnews10.com"
"555","amarsurma.com"
"552","banglaraloprotidin.com"
"550","patuakhali.gov.bd"
"548","alkawsar.com"
"547","ajkerpost.com"
"545","rajshahisangbad.com"
"545","dainikshiksha.com"
"545","avashnews.com"
"545","imo.im"
"544","bangalikhobor.com"
"544","sylhetprothidin24.com"
"544","jagannathpurtimes.co.uk"
"544","lalmonirhat.gov.bd"
"543","insurancenewsbd.com"
"543","madreshoy.com"
"542","banglakhoborbd.com"
"541","michiganpratidin.com"
"540","newsroombd24.com"
"540","rajnitisangbad.com"
"540","dainikbanglarnabokantha.com"
"539","news24bd.net"
"538","alormoni.com"
"538","rangpur.gov.bd"
"538","priyochandpur.net"
"537","newssunamganj.com"
"536","mawaqit.net"
"535","chandpurtimes.com"
"534","shariatpur.gov.bd"
"533","rajtimes24.com"
"532","ajkerparibartan.com"
"531","surmanews24.com"
"531","muktokantho.com"
"530","beanibazareralo.com"
"525","comillatimes.com"
"525","dailybhorerbarta.com"
"522","sangbadprotidin.com"
"521","amadersujanagar.com"
"520","dainikdeshbarta.com"
