"content_languages","count"
"eng","982966944"
,"585787318"
"rus","107580325"
"zho","90350792"
"deu","86497311"
"spa","79147671"
"fra","64346639"
"jpn,eng","63773475"
"jpn","60769330"
"deu,eng","46963024"
"fra,eng","44806999"
"por","44192299"
"pol","38156267"
"rus,eng","34959109"
"spa,eng","33674235"
"zho,eng","31615657"
"ita","31406611"
"ita,eng","27290949"
"tur","25796478"
"nld","23799226"
"ces","21769486"
"nld,eng","20545827"
"vie","19499856"
"ind,eng","17540014"
"por,eng","15228188"
"fas","13262103"
"eng,deu","11898940"
"eng,spa","11340718"
"kor,eng","10911936"
"eng,fra","10815000"
"ell,eng","10535766"
"ind","10209969"
"hun","10182374"
"pol,eng","10124488"
"swe","9381426"
"zho,jpn","9250749"
"ara","8526854"
"ron","8376316"
"ara,eng","8095112"
"kor","7941040"
"ukr","7917551"
"eng,zho","7868339"
"tha,eng","7750064"
"slk","7505339"
"ron,eng","6874020"
"dan","6818652"
"eng,ita","6286930"
"fin","6263782"
"vie,eng","6242892"
"tur,eng","5733893"
"eng,lat","5687978"
"swe,eng","5677848"
"fas,eng","5357502"
"eng,jpn","5145799"
"eng,dan","5097715"
"eng,ind","4866377"
"eng,nld","4827572"
"nor","4703942"
"eng,por","4701536"
"jpn,zho","4574668"
"hin,eng","4427225"
"dan,eng","4185367"
"ell","3807766"
"ukr,eng","3702535"
"eng,rus","3684468"
"rus,srp","3577040"
"ces,eng","3547008"
"srp","3395801"
"hrv","3279539"
"heb","3269252"
"cat","3054962"
"heb,eng","3038166"
"jpn,eng,dan","3020247"
"lit","3006119"
"bul,eng","2880210"
"hun,eng","2752288"
"bul","2704157"
"nor,eng","2700830"
"eng,pol","2610064"
"eng,ara","2582778"
"tha","2532700"
"eng,kor","2518132"
"ukr,rus","2508028"
"slv","2486252"
"fin,eng","2423189"
"eng,tur","2278428"
"est","2158948"
"eng,msa","2139293"
"eng,ell","2034590"
"eng,hin","2034124"
"srp,eng","2016897"
"ben,eng","1918218"
"rus,eng,srp","1886661"
"rus,ukr","1810794"
"rus,tat","1777750"
"jpn,dan","1638827"
"eng,tha","1609664"
"slk,eng","1609551"
"eng,swe","1602522"
"lav","1583176"
"hrv,eng","1575023"
"eng,ces","1500806"
"spa,cat","1448521"
"zho,eng,jpn","1382385"
"lat,eng","1362296"
"eng,vie","1352072"
"zho,jpn,eng","1347645"
"slv,eng","1334913"
"msa,eng","1291423"
"eng,ron","1286263"
"eng,zho,jpn","1103027"
"cat,eng","1043559"
"lit,eng","1004244"
"est,eng","993121"
"nep,eng","969875"
"tam,eng","956289"
"aze","948004"
"ben","930878"
"jpn,zho,eng","876934"
"eng,hun","870955"
"eng,ukr","820250"
"deu,war","790053"
"eng,nor","785505"
"ukr,rus,eng","738760"
"eng,srp","724795"
"bul,srp","723827"
"bul,eng,srp","695361"
"eng,fin","688848"
"ita,war","669573"
"isl","669144"
"eng,zho,ukr","649497"
"rus,dan","646308"
"bos","613049"
"eng,xho","606821"
"zho,dan","605378"
"eng,slk","600925"
"mal,eng","593843"
"mar,eng","590478"
"msa","580370"
"cat,spa","579818"
"lav,eng","574207"
"eus","574001"
"eng,fas","573807"
"eng,san","572984"
"sqi,eng","572010"
"deu,fra","547030"
"glg","540570"
"sqi","537635"
"deu,dan","527228"
"rus,ukr,eng","522609"
"eng,hrv","522494"
"urd,eng","521698"
"eng,heb","514429"
"eng,cat","510451"
"eng,ben","509866"
"kat","494935"
"kat,eng","474333"
"rus,srp,eng","471119"
"eng,jpn,dan","458267"
"tel,eng","450659"
"ita,cos","448960"
"eng,nno","448491"
"eng,bul","435592"
"spa,fra","417339"
"fra,deu","414458"
"eng,slv","408633"
"jpn,dan,eng","404163"
"rus,bel","400952"
"jpn,eng,zho","398866"
"hrv,bos","398645"
"nld,afr","390995"
"bos,eng","385216"
"spa,grn","376082"
"rus,tat,eng","375867"
